epoch,tr_loss,tr_acc,tr_prec,tr_rec,tr_f1_macro,tr_f1_weighted,tr_f1_binary,tr_mae,tr_rmse,tr_mse,tr_mape,vl_loss,vl_acc,vl_prec,vl_rec,vl_f1_macro,vl_f1_weighted,vl_f1_binary,vl_mae,vl_rmse,vl_mse,vl_mape,lr
1,0.38109225791358553,0.6611111111111111,0.7154501261011001,0.6839789007147539,0.6538897995208675,0.6486126872049203,0.6038961038961039,19.3250565978388,24.501313002745555,600.3143388585084,16278461661.212948,0.3837283403941375,0.375,0.6428571428571428,0.5833333333333334,0.3650793650793651,0.3253968253968254,0.2857142857142857,15.375135958194733,19.678241678854164,387.2331955713932,294.54646990205555,0.0001
2,0.24020343320982937,0.9194444444444444,0.9243882747484784,0.9234022119644352,0.9194388499201334,0.9193978234085187,0.9187675070028011,15.666446286895209,20.18670720946373,407.50314796061497,9263358714.885036,0.3384226745008217,0.6625,0.7127659574468085,0.775,0.6533461723639866,0.6815117958594127,0.7096774193548387,18.673639643192292,24.66847797883991,608.5338057925096,255.33478271707182,0.0001
3,0.19278667206279448,0.9333333333333333,0.9388327721661055,0.9346590909090908,0.9332323575778183,0.9331746571460953,0.9306358381502889,13.184931345333139,18.275369537209873,333.9891317215786,3668703191.6505604,0.37386562614016894,0.7125,0.6740812379110251,0.725,0.6755422324105096,0.7302944806912361,0.7850467289719626,20.767414855957032,26.798200481259517,718.1435490337777,318.32297175619624,0.0001
4,0.16422789747997188,0.9555555555555556,0.9591836734693877,0.9555555555555555,0.9554675903018308,0.9554675903018307,0.9534883720930233,11.318145661263003,15.093059502213293,227.800445137351,5189425678.891502,0.2108802352023828,0.925,0.8918495297805643,0.9166666666666667,0.9031476997578693,0.9261501210653755,0.9491525423728815,12.948171625845134,20.040397912147693,401.6175484772136,68.24649882149596,0.0001
5,0.16468171231731699,0.9583333333333334,0.9599071207430341,0.9585018056112843,0.9583072753804462,0.958301484724249,0.9572649572649573,11.950873109739687,16.959160544003502,287.6131263572852,4679678101.97999,0.3523893208387445,0.7375,0.7313946216385241,0.8083333333333333,0.7180735022654807,0.7550763550931364,0.7920792079207921,16.983894932828843,24.532149843547675,601.8263759462761,147.69440486876874,0.0001
6,0.16562662689243537,0.9583333333333334,0.9586677367576244,0.9597605123920914,0.9583175737740349,0.9583580983550879,0.9591280653950953,11.655209050467239,16.31340552058856,266.1271996791693,3379963335.7869244,0.3748013860683012,0.75,0.75,0.8333333333333333,0.7333333333333334,0.7666666666666666,0.8,18.528220514499118,24.21625482989172,586.426997986254,132.71702364835528,0.0001
7,0.1401552037966553,0.9833333333333333,0.9833333333333334,0.9838709677419355,0.983328702417338,0.9833379642493284,0.9836065573770492,11.009192632055944,15.356174595578917,235.8120982099033,4021291595.121806,0.37027094200122307,0.8875,0.9347826086956521,0.775,0.8199549887471869,0.8750937734433609,0.9302325581395349,16.52797214090824,25.58678969294856,654.6838067911787,165.8174039332095,0.0001
8,0.13462419912401657,0.9722222222222222,0.9723448254575758,0.9730456554666007,0.972214504028897,0.9722325131466558,0.9726775956284153,9.95221767384145,13.35614666863227,178.3866538340169,5142015354.242278,0.2583675713470096,0.75,0.75,0.8333333333333333,0.7333333333333334,0.7666666666666666,0.8,15.891981887817384,21.536960318070495,463.8406597421432,134.95924200061603,0.0001
9,0.11097676557307648,0.9861111111111112,0.9868125701459034,0.9853146853146852,0.9859934169059459,0.9861004116379143,0.9847094801223242,8.37240095368276,11.958784981328634,143.0125382296513,4102848067.533041,0.21888322546900082,0.875,0.8273809523809523,0.8666666666666667,0.8432601880877743,0.8785266457680251,0.9137931034482758,13.167342025041581,18.457407612364886,340.67589576898524,119.87832799460887,1e-05
10,0.09671774920293746,0.9888888888888889,0.9886194952993568,0.9891640866873065,0.9888610414926204,0.9888919830440298,0.9894179894179894,7.528662960024343,10.447783410890365,109.15617820087591,3336779680.1950417,0.22321052103953926,0.7375,0.7439024390243902,0.825,0.7218082463984103,0.7548435171385992,0.787878787878788,11.873621419072151,18.78449606095939,352.8572922641989,72.13155636794522,1e-05
