epoch,tr_loss,tr_acc,tr_prec,tr_rec,tr_f1_macro,tr_f1_weighted,tr_f1_binary,tr_mae,tr_rmse,tr_mse,tr_mape,vl_loss,vl_acc,vl_prec,vl_rec,vl_f1_macro,vl_f1_weighted,vl_f1_binary,vl_mae,vl_rmse,vl_mse,vl_mape,lr
1,0.35997462240650363,0.72,0.7770125497398225,0.7381578947368421,0.7136799225349761,0.7100337239974623,0.6711409395973154,19.16414705365896,25.415636085915903,645.9545576517107,4007019463.813708,0.32486246372846994,0.7666666666666667,0.7941176470588236,0.825,0.7643097643097643,0.772166105499439,0.787878787878788,19.74607858657837,24.474098538575724,598.9814992759144,10092835866.371115,0.0001
2,0.22948935394239522,0.8628571428571429,0.8923442270722606,0.8453269632726187,0.8540450375312763,0.8585535565352079,0.8181818181818183,13.824613477683494,18.539038403270258,343.69594491792947,7360264386.501794,0.19491618533077,0.9444444444444444,0.9615384615384616,0.9166666666666667,0.9345454545454546,0.9430303030303031,0.9600000000000001,10.32424311141173,14.014580647035748,196.40847071226895,6666049187.554279,0.0001
3,0.21398129075158295,0.8857142857142857,0.8955040101168092,0.8885220177187878,0.8854112100576218,0.8852091596198459,0.8795180722891568,12.804592719461237,16.704661560431433,279.0457178485555,4717851473.767697,0.4403544532139694,0.8888888888888888,0.9285714285714286,0.8333333333333333,0.8615384615384616,0.882051282051282,0.923076923076923,21.34698207113478,24.152294045470427,583.3333076588663,7232184273.477626,0.0001
4,0.1792973702386836,0.9285714285714286,0.9358333333333333,0.927161945832925,0.9280776596881448,0.9282138717938782,0.9221183800623054,11.072347364899302,15.168913511569189,230.0959371214663,2380532911.373468,0.18835510847286557,1.0,1.0,1.0,1.0,1.0,1.0,13.261745283338758,16.65273697345721,277.3136487071488,10214869112.921276,0.0001
5,0.17216630410334144,0.9485714285714286,0.949673202614379,0.9504976427448926,0.9485647104927991,0.948594941846632,0.9491525423728814,12.378129708000591,17.017025924740235,289.5791713232813,3289443277.71537,0.27842320007305543,0.9555555555555556,0.9579493087557605,0.9416666666666667,0.9491237987563594,0.9551535707556057,0.9672131147540983,15.825121920721399,22.23891188759331,494.5692019441391,1833137927.6127052,0.0001
6,0.14197551329803318,0.9914285714285714,0.9914772727272727,0.9915254237288136,0.9914285014571548,0.9914287813428216,0.9914529914529915,10.94000309162108,14.931622325152695,222.9533452609984,4060584214.1576715,0.23665902785473317,0.9888888888888889,0.9918032786885246,0.9833333333333334,0.9873931923238548,0.9888406406125975,0.9917355371900827,16.397524369259674,22.673136939224143,514.0711386648104,8900950238.544102,0.0001
7,0.12274916626883964,0.9771428571428571,0.9777231777231777,0.9767236588316062,0.9770949903471745,0.9771308904439365,0.9760479041916168,8.618011096814381,11.509730393556163,132.47389373235052,2529788394.211644,0.1518470834081253,0.9444444444444444,0.9285714285714286,0.9583333333333333,0.939799331103679,0.9453734671125975,0.9565217391304348,10.95097985499435,14.247698491267276,202.9969122980598,2076904615.7918346,0.0001
8,0.1609957307328572,0.9371428571428572,0.9429160021265284,0.9356209150326797,0.936737980216241,0.936882579118604,0.9316770186335402,10.162071595830577,13.933699276603154,194.14797553081124,3693847502.6827097,0.2362640479939923,0.9333333333333333,0.9545454545454546,0.9,0.9206349206349207,0.9312169312169313,0.9523809523809523,11.489014405177699,16.981053917591233,288.3561921521405,1675499354.063973,0.0001
9,0.12790737846758254,0.98,0.9783010461700934,0.9815590111642744,0.9797217325089598,0.9800339350598831,0.9820971867007673,9.859694300464222,13.513124696855552,182.60453907276747,1891971364.7318084,0.2192679278908365,0.9666666666666667,0.9761904761904762,0.95,0.9614890885750963,0.9661959777492511,0.975609756097561,13.804788352383508,20.093878672232172,403.763960094387,10644398702.333607,0.0001
10,0.11866986333405084,0.9771428571428571,0.9775229507661145,0.9773358152901603,0.9771421107628004,0.9771406180026869,0.9770114942528735,8.6952969962731,11.88174335046084,141.17582504622035,3124789157.9115586,0.18250235448501126,1.0,1.0,1.0,1.0,1.0,1.0,13.60106775495741,18.147364697689568,329.3268454709496,7040049268.319477,0.0001
