epoch,tr_loss,tr_acc,tr_prec,tr_rec,tr_f1_macro,tr_f1_weighted,tr_f1_binary,tr_mae,tr_rmse,tr_mse,tr_mape,vl_loss,vl_acc,vl_prec,vl_rec,vl_f1_macro,vl_f1_weighted,vl_f1_binary,vl_mae,vl_rmse,vl_mse,vl_mape,lr
1,0.3871447630833301,0.6885714285714286,0.7541666666666667,0.6794762823237112,0.6602819259298837,0.6636430549566018,0.5622489959839359,20.26802464514971,26.18305071688127,685.5521448427768,16398718158.763763,0.5372992706150304,0.35555555555555557,0.6704545454545454,0.5166666666666667,0.2864953526517222,0.21250227811190084,0.06451612903225806,24.61896396941609,29.98942747854889,899.3657604911433,446.66468342812664,0.0001
2,0.24244573093481186,0.8971428571428571,0.9089924160346696,0.8947712418300653,0.8959159397303726,0.896238812733658,0.8846153846153846,15.942370560807841,20.364156599753354,414.6988740192781,15240259742.561197,0.34996560854910336,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,24.05644710568918,34.646567819207014,1200.384661650911,148.39679232795504,0.0001
3,0.17678815061696057,0.9371428571428572,0.9434325337580041,0.9364814996244408,0.9368459040057742,0.9368953961952879,0.9325153374233129,12.437607214812722,16.42686048274643,269.84174531961634,9032458179.516203,0.38906719454898653,0.7666666666666667,0.7941176470588236,0.825,0.7643097643097643,0.772166105499439,0.787878787878788,21.374978309207492,31.94328363624481,1020.3733694655856,130.2438419394649,0.0001
4,0.17681002291414039,0.9657142857142857,0.9657142857142857,0.9679144385026738,0.9656739350747,0.9657546363538713,0.9668508287292817,12.360609202725547,16.4993138629872,272.2273579493616,7871289124.584314,0.367257697779098,0.8,0.8125,0.85,0.7963800904977376,0.8054298642533937,0.8235294117647058,21.109013937248125,29.29911418958607,858.4380922944039,129.42823870336008,0.0001
5,0.20263687356376722,0.9114285714285715,0.9175918583135079,0.9128850991538436,0.9112655898589246,0.9111786663551129,0.9074626865671641,11.896456550870623,15.875023655196962,252.0163760530631,9667580770.802874,0.3344779622956754,0.9444444444444444,0.930622009569378,0.95,0.938949938949939,0.945054945054945,0.9572649572649572,22.47428738921881,30.401422250956138,924.2464748809309,181.27589399442874,0.0001
6,0.1674210727016966,0.9428571428571428,0.9473945409429281,0.9417818288738606,0.9425871854597947,0.9426771712589107,0.9386503067484663,10.056826108310904,13.746977016988726,188.97937710561624,5991206557.468643,0.39716020727145307,0.7888888888888889,0.8061224489795918,0.8416666666666667,0.785687429502444,0.7944186823745666,0.8118811881188119,22.489894624054433,33.19285168450924,1101.7654029498283,116.77017859669266,0.0001
7,0.12586955283438994,0.9628571428571429,0.9655452705616934,0.9607302337798792,0.9624819624819625,0.9627606679035252,0.9587301587301588,9.096708584661995,12.200403376825973,148.8498425572666,6773796993.300864,0.336981456918228,0.8111111111111111,0.8191489361702128,0.8583333333333334,0.8070861177657294,0.8163745639473794,0.8349514563106796,21.63158776760101,27.728795374114547,768.8860928995163,246.97607707961856,0.0001
8,0.15421212063385414,0.9628571428571429,0.9633851580872745,0.9642191027780505,0.9628495611349255,0.962873822646021,0.9633802816901409,10.97674351722002,14.71411229030423,216.505100491682,6839172367.43416,0.36342084351905585,0.8222222222222222,0.8260869565217391,0.8666666666666667,0.8178137651821862,0.8272604588394061,0.846153846153846,22.53412743790282,30.805008930790528,948.9485752260841,332.080792040708,0.0001
9,0.1208922737166129,0.9742857142857143,0.9748168498168499,0.9741190686130433,0.9742687001200794,0.9742762619714727,0.9736070381231672,8.428065729694707,11.192485993804535,125.27174272151069,4078665800.238692,0.3530841452217662,0.8444444444444444,0.8409090909090908,0.8833333333333333,0.8393676695563489,0.8488866224715282,0.8679245283018869,23.200917766657142,31.401170907866696,986.0335343850537,346.581001744572,0.0001
10,0.09893992745868485,0.9857142857142858,0.986384141723468,0.9849947465195692,0.985615531937629,0.9857040698063557,0.984423676012461,7.4632978325017865,9.978726734529285,99.57498724240949,8005628746.551457,0.2924060165882586,0.8666666666666667,0.8571428571428572,0.9,0.8611111111111112,0.8703703703703703,0.888888888888889,20.79851617283291,30.740350813909135,944.9691681622039,175.07539762300365,1e-05
11,0.0953609293176002,0.9885714285714285,0.988950276243094,0.9884393063583815,0.9885654546048548,0.9885684415881415,0.9883040935672515,7.17365220152906,10.000139138671669,100.00278279279296,3764739566.3335233,0.2914506838844377,0.8666666666666667,0.8571428571428572,0.9,0.8611111111111112,0.8703703703703703,0.888888888888889,20.294376905759176,29.685334951349763,881.2191111738277,164.3024656750647,1e-05
12,0.08206444342574494,0.9971428571428571,0.997093023255814,0.9972067039106145,0.9971417138283885,0.9971430204734956,0.9971988795518207,6.568364931547216,8.924884753982202,79.65356787186394,4221441233.2019024,0.2933625328194086,0.8666666666666667,0.8571428571428572,0.9,0.8611111111111112,0.8703703703703703,0.888888888888889,20.321382288179464,29.99991180606417,899.9947083716282,144.09419995359224,1e-05
13,0.09857759851973287,0.9714285714285714,0.9722222222222222,0.9722222222222222,0.9714285714285714,0.9714285714285714,0.9714285714285714,7.003638846373984,9.512807527192813,90.49350704941624,3976416364.418193,0.3006399928231717,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,20.874702747745648,30.82469802081518,950.1620080744473,174.6801245624065,1e-05
14,0.10217889805452723,0.9828571428571429,0.9837837837837837,0.9824561403508771,0.9828296703296704,0.9828453689167976,0.9821428571428572,7.48816813024027,9.990594056193924,99.81196959565736,4010413855.531372,0.28665311987037667,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,20.05570116771592,29.863878623402993,891.8512464333463,155.76229090613637,1e-05
15,0.08457803045518052,0.9942857142857143,0.9942765567765568,0.9942765567765568,0.9942765567765568,0.9942857142857143,0.9945054945054945,6.60895800717175,9.05360967659315,81.9678481761011,5304346688.528725,0.2768725421869877,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,20.090696875254313,30.264119515214617,915.9169300311942,147.17030855509933,1e-05
16,0.07400427786205277,0.9914285714285714,0.9918032786885246,0.9911764705882353,0.9914167300193737,0.9914258387956797,0.9910979228486646,5.818034530580044,7.839570570466921,61.45886672933105,4556343693.24514,0.2691170743251229,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,19.780729105737475,29.59114109994094,875.6356315966141,140.42192935154517,1e-05
17,0.07303488527135064,1.0,1.0,1.0,1.0,1.0,1.0,5.967663986906409,8.02659531331315,64.42623232370063,4922151986.354104,0.2758820931442588,0.9444444444444444,0.9285714285714286,0.9583333333333333,0.939799331103679,0.9453734671125975,0.9565217391304348,20.70649011499352,30.564950033709227,934.2161705631416,162.76725771706825,1e-05
18,0.07190872477631265,0.9857142857142858,0.9861111111111112,0.9857142857142858,0.985711369667279,0.9857113696672789,0.9855072463768115,5.553747749381832,7.189214197374704,51.684800775734004,3010154562.206842,0.2691913080155632,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,19.98638793494966,30.024952743518284,901.4977872505062,144.9386554188674,1e-05
19,0.07476152172363011,0.9942857142857143,0.99375,0.9947916666666667,0.9942375448648293,0.9942887248745196,0.9947643979057591,5.968207597221647,7.641850280050621,58.397875702709754,4405574343.879331,0.2575003604300761,0.9111111111111111,0.8947368421052632,0.9333333333333333,0.9054621848739496,0.9131652661064427,0.9285714285714286,19.207616073555418,28.203071677508568,795.4132520466859,132.07905252002146,1e-05
20,0.06890159549753519,0.9971428571428571,0.9971751412429379,0.9971264367816092,0.9971426472148974,0.9971427871668705,0.9971181556195965,5.268069302216173,6.809773396133988,46.37301370669422,3648563880.716385,0.2699216322755543,0.9,0.8846153846153846,0.925,0.8942420681551116,0.9024676850763806,0.9189189189189189,19.877327783902487,29.038575595749563,843.2388726300621,149.31133399113637,1e-05
21,0.07286574376303265,1.0,1.0,1.0,1.0,1.0,1.0,5.95354797093996,8.058546600457227,64.94017331174074,3793974928.194209,0.26235542962908764,0.9333333333333333,0.9166666666666667,0.95,0.9282296650717703,0.9346092503987241,0.9473684210526316,19.63431076237725,29.04209212790023,843.4431151654445,146.0915054041177,1e-05
22,0.0799414191027328,0.9857142857142858,0.9860335195530726,0.9857954545454546,0.9857132360744871,0.9857125363146214,0.9855907780979827,5.8125518084956065,8.141011026055407,66.27606052635572,4141645930.4580836,0.2519022409604362,0.9333333333333333,0.9166666666666667,0.95,0.9282296650717703,0.9346092503987241,0.9473684210526316,18.89574010376301,27.544600343847236,758.7050081022692,130.80695355707107,1e-05
