epoch,tr_loss,tr_acc,tr_prec,tr_rec,tr_f1_macro,tr_f1_weighted,tr_f1_binary,tr_mae,tr_rmse,tr_mse,tr_mape,vl_loss,vl_acc,vl_prec,vl_rec,vl_f1_macro,vl_f1_weighted,vl_f1_binary,vl_mae,vl_rmse,vl_mse,vl_mape,lr
1,0.4431371364537626,0.6914285714285714,0.7242832717006641,0.6843963516296707,0.6744186046511629,0.6769700996677742,0.6000000000000001,22.03982120003019,28.180438223998088,794.1370984965725,5229922451.2666025,0.2308348763320181,0.8666666666666667,0.8571428571428572,0.9,0.8611111111111112,0.8703703703703703,0.888888888888889,13.503384410010444,15.89377550095876,252.61209967487687,13226257077.284613,0.0001
2,0.2524920838423339,0.88,0.8988040163119838,0.88,0.8785685963521015,0.8785685963521015,0.8653846153846154,14.833997099154763,20.331158842447852,413.35601987684544,3641548300.897698,0.17062441378624904,1.0,1.0,1.0,1.0,1.0,1.0,10.684316574202644,12.333962642196708,152.126634459104,4130697268.5935235,0.0001
3,0.21861869257049898,0.9228571428571428,0.9328358208955223,0.9232954545454546,0.9224615384615384,0.9224298901098902,0.9169230769230768,14.052262443804315,18.41489513877248,339.10836297198625,4402801777.537088,0.10421724399551749,0.8555555555555555,0.8488372093023255,0.8916666666666666,0.8502112405581872,0.8596423846711904,0.8785046728971964,5.3914677679538725,7.488855773539387,56.08296079687422,2442673320.1564684,0.0001
4,0.17016444688170618,0.9485714285714286,0.95,0.9521276595744681,0.9485445457218465,0.9486319149829883,0.9497206703910615,11.322336737896714,15.452501416557986,238.77980002872656,2712361020.8977895,0.24001508939131683,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8917748917748918,0.9090909090909091,15.135403634773361,20.092383484655652,403.70387409446323,4612104133.448568,0.0001
5,0.15335495928954337,0.9771428571428571,0.9779005524861879,0.9774011299435028,0.9771398713301329,0.9771368855174086,0.976878612716763,10.92347116704498,14.90870751355767,222.26955972481096,3322565044.180704,0.10027264668192298,1.0,1.0,1.0,1.0,1.0,1.0,6.295462375217014,9.258657164865859,85.72273249652191,3114076211.776998,0.0001
6,0.16026862353033253,0.9828571428571429,0.9829545454545454,0.9833333333333334,0.9828549034975997,0.9828605018964576,0.983050847457627,11.402719880087036,16.56864512755991,274.5200013630147,2197984342.892433,0.24154374362745631,0.9333333333333333,0.9175420168067226,0.9416666666666667,0.9272629310344827,0.9342672413793103,0.9482758620689654,15.530605665842693,17.335189875759145,300.50880802862235,12616957883.694313,0.0001
7,0.1431287092632348,0.9714285714285714,0.9722367731796753,0.9711262085184218,0.9713949458955833,0.9714117586620773,0.9704142011834319,9.966538917677743,13.585484413942863,184.56538676148446,1202441030.8145816,0.18424304264788385,1.0,1.0,1.0,1.0,1.0,1.0,11.7251546393666,16.043561371139457,257.39586146951814,2646100961.5072474,0.0001
8,0.13389805055103665,0.98,0.9803889470927187,0.9796822387132629,0.9799631977100798,0.9799926395420159,0.9791044776119403,9.513223363565547,13.229135049896366,175.01001416839654,1695216233.3771071,0.2122331601693683,0.8666666666666667,0.9166666666666667,0.8,0.8295454545454545,0.8560606060606061,0.9090909090909091,6.798972474204169,8.413772538168958,70.79156832404611,3474950477.4503856,0.0001
9,0.16186987909694608,0.96,0.9606209150326797,0.9603801933629474,0.9599986938349007,0.9599947753396029,0.9597701149425286,10.05472136007888,13.910452517411063,193.50068923914776,2028725268.8434026,0.21083457772361322,0.9,0.8846153846153846,0.925,0.8942420681551116,0.9024676850763806,0.9189189189189189,14.749334101130565,20.797099802886354,432.5193602112156,1480580664.6763854,0.0001
10,0.11320586706046012,0.9742857142857143,0.9745762711864407,0.9752747252747253,0.9742804654011021,0.9742951622780158,0.9746478873239436,8.270693358544792,11.557719562052851,133.58088147505916,2168043068.7623043,0.15769789668977158,1.0,1.0,1.0,1.0,1.0,1.0,9.856394995583429,11.335769398165867,128.49966784839376,5426359822.039059,1e-05
